SCHOOL,STUDENT_ID,STATE_STUDENT_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,GENDER,RACE,GRADE,BIRTH_YEAR,BIRTH_MONTH,BIRTH_DAY,BIRTH_DATE
15628,993792,8011665,Toby,Joseph,Ballard,Male,White,12,2005,5,14,5/14/2005
15628,743808,7217863,Gary,Helen,Roberts,Male,Multiple,12,2005,12,25,12/25/2005
15628,529927,2422078,Hope,Sam,Guerrero,Female,White,10,2007,3,17,3/17/2007
15628,793479,8240139,Ronald,Thomas,Mendoza,Male,Multiple,8,2009,3,15,3/15/2009
15628,317593,3118629,Harold,Daniel,Davenport,Male,Hispanic,12,2005,12,24,12/24/2005
15628,817614,2365398,Richard,Sandra,Jackson,Male,Hispanic,8,2009,1,18,1/18/2009
15628,577973,9715905,Richard,Benito,Davis,Male,Hispanic,12,2005,7,13,7/13/2005
15628,858974,3826368,Shanna,Theresa,Acosta,Female,Asian,8,2009,10,12,10/12/2009
15628,184148,9830358,Pam,Bertha,Day,Female,Multiple,8,2009,6,21,6/21/2009
15628,291615,8766083,Alice,James,Williams,Female,White,12,2005,3,2,3/2/2005
15628,197400,4930854,Edward,Wanda,Fischer,Male,Multiple,11,2006,9,28,9/28/2006
15628,741559,4178794,Damien,Mohammad,Gates,Male,Multiple,10,2006,11,17,11/17/2006
15628,628153,9895965,Robert,Michael,Lopez,Male,White,12,2006,4,19,4/19/2006
15628,512061,8045299,Willie,Adam,Wilson,Female,Black,12,2005,6,11,6/11/2005
15628,390121,7426399,Dion,Mary,Jacobs,Male,Multiple,10,2007,3,14,3/14/2007
15628,926065,9160643,Deana,Mary,Bartlett,Female,Hispanic,12,2004,7,28,7/28/2004
15628,984820,6235234,Nina,Peter,King,Female,Multiple,10,2007,4,18,4/18/2007
15628,943145,9934015,Charles,Jose,Cruz,Male,Asian,9,2008,7,19,7/19/2008
15628,549025,6254567,Jose,David,Cox,Male,Black,11,2006,4,10,4/10/2006
15628,790399,1082477,Michael,Shannon,Williams,Male,Hispanic,8,2009,5,15,5/15/2009
15628,993606,2910040,Ruth,Carl,Parker,Female,Asian,11,2006,4,10,4/10/2006
15628,380106,4564420,Carlos,John,Howell,Male,Black,12,2005,7,3,7/3/2005
15628,194017,9929120,Charles,Jean,Wilson,Male,Asian,9,2008,12,1,12/1/2008
15628,146624,8465776,Gwendolyn,Alfred,Lopez,Female,Black,10,2006,9,18,9/18/2006
15628,364462,6880334,Gregory,Daniel,Gomez,Male,Black,11,2006,1,24,1/24/2006
15628,585202,3335952,Carol,Angelina,Smith,Female,White,10,2008,10,25,10/25/2008
15628,248037,2181915,Beverly,Juan,Hodges,Female,Black,10,2007,6,9,6/9/2007
15628,699030,6243519,Nora,Mary,Robbins,Female,White,11,2006,10,16,10/16/2006
15628,855834,3441676,Lois,Linda,Jones,Female,Asian,9,2008,3,23,3/23/2008
15628,876262,3955659,Johnnie,Gary,Lane,Male,Multiple,12,2005,12,1,12/1/2005
15628,987867,6216075,Ruben,Eva,Martinez,Male,Black,12,2004,4,16,4/16/2004
15628,940586,9095016,Dennis,Willard,Ryan,Male,Black,12,2005,9,3,9/3/2005
15628,393585,8070421,William,Michael,Hernandez,Male,Black,11,2006,6,14,6/14/2006
15628,175402,4881943,Daren,Alice,Gilbert,Male,Hispanic,9,2008,2,17,2/17/2008
15628,365598,1283213,Ashley,Cecile,Meza,Female,Hispanic,9,2008,3,22,3/22/2008
15628,333809,1020974,Steven,Chad,Ramirez,Male,Black,8,2009,7,15,7/15/2009
15628,294611,5749262,Veronica,Patsy,Rosales,Female,Asian,12,2005,9,15,9/15/2005
15628,951541,8279552,Connie,Maude,Wolf,Male,Hispanic,11,2006,3,8,3/8/2006
15628,351975,6190621,Alice,Peter,Hernandez,Female,Hispanic,10,2006,7,10,7/10/2006
15628,987394,7477361,Billy,Claudine,Grimes,Male,Black,12,2005,3,13,3/13/2005
15628,669067,8568960,Deborah,Alan,Rodgers,Female,Multiple,12,2005,6,20,6/20/2005
15628,360359,8341407,Katie,Michelle,Moran,Female,Black,8,2010,2,16,2/16/2010
15628,657631,7595405,Jacob,Ronald,Wilson,Male,Asian,9,2008,1,15,1/15/2008
15628,157498,4373788,Samuel,Timothy,Ramos,Male,Black,9,2008,6,28,6/28/2008
15628,575288,4884928,Thomas,Antoinette,Carr,Male,White,12,2005,3,16,3/16/2005
15628,949322,9279242,Michael,Vera,Martin,Female,Multiple,10,2007,4,11,4/11/2007
15628,639294,4170333,William,Jonathan,Jones,Male,White,9,2007,12,6,12/6/2007
15628,186890,8331899,James,Emmett,Saunders,Female,Black,10,2007,12,16,12/16/2007
15628,102685,8753699,William,Alana,Smith,Male,White,10,2007,3,26,3/26/2007
15628,165855,2000974,Connie,Jennifer,Mejia,Male,Hispanic,11,2006,11,2,11/2/2006
15628,568691,5237269,Michael,Ryan,Thompson,Female,Hispanic,10,2006,1,19,1/19/2006
15628,818996,1032943,Sara,Michael,Burke,Female,Hispanic,12,2004,6,22,6/22/2004
15628,935114,3820928,Mary,Randy,Ford,Male,Hispanic,10,2007,8,7,8/7/2007
15628,157998,6970791,Steven,Walter,Hamilton,Male,White,9,2007,12,6,12/6/2007
15628,360890,5543408,Alex,Robert,Carrillo,Male,Hispanic,9,2008,6,21,6/21/2008
